timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
412709673,0.0,0.0,0.0,-0.00675539,0.0135281,-0.0454102,0.0,0.0,0.0,-0.00126329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257687,0.257685,4.06024,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,0.000135747,0.00271581,0.00717298,0.0,0.0,0.0,0.0,0.0,0.0
412911276,0.0,0.0,0.0,-0.00677034,0.0134782,0.114578,0.0,0.0,0.0,0.0253425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257631,0.25763,4.06002,0.0,0.0,0.0,0.0901452,0.0,0.0,0.0,0.0,0.0,0.000211919,0.00190634,0.00500637,0.0,0.0,0.0,0.0,0.0,0.0
413116870,0.0,0.0,0.0,-0.00685616,0.0135619,0.110245,0.0,0.0,0.0,0.0223852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257793,0.257791,4.06067,0.0,0.0,0.0,0.0901456,0.0,0.0,0.0,0.0,0.0,0.000452257,0.00174326,0.0038035,0.0,0.0,0.0,0.0,0.0,0.0
413314481,0.0,0.0,0.0,-0.00660126,0.0132203,0.1035,0.0,0.0,0.0,0.0277782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257743,0.257742,4.06053,0.0,0.0,0.0,0.0901458,0.0,0.0,0.0,0.0,0.0,0.000678099,0.00169435,0.00494438,0.0,0.0,0.0,0.0,0.0,0.0
413520089,0.0,0.0,0.0,-0.00636098,0.0130711,0.441055,0.0,0.0,0.0,0.0610472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25777,0.257769,4.06071,0.0,0.0,0.0,0.0901457,0.0,0.0,0.0,0.0,0.0,0.000669367,0.00222035,0.00675294,0.0,0.0,0.0,0.0,0.0,0.0
413721666,0.0,0.0,0.0,-0.00637062,0.0129815,0.436539,0.0,0.0,0.0,0.0348726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257785,0.257783,4.06086,0.0,0.0,0.0,0.0901458,0.0,0.0,0.0,0.0,0.0,0.000547383,0.00218788,0.00607619,0.0,0.0,0.0,0.0,0.0,0.0
413923275,0.0,0.0,0.0,-0.00607165,0.0131154,-0.0424957,0.0,0.0,0.0,0.00377497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25791,0.257909,4.06144,0.0,0.0,0.0,0.0901456,0.0,0.0,0.0,0.0,0.0,0.000418779,0.00154523,0.00484173,0.0,0.0,0.0,0.0,0.0,0.0
414124873,0.0,0.0,0.0,-0.00617953,0.0135051,0.321671,0.0,0.0,0.0,0.0174007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257796,0.257795,4.06108,0.0,0.0,0.0,0.0901458,0.0,0.0,0.0,0.0,0.0,0.000412836,0.00586145,0.0189369,0.0,0.0,0.0,0.0,0.0,0.0
414330476,0.0,0.0,0.0,-0.00679248,0.0143177,-0.292099,0.0,0.0,0.0,0.0384015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257717,0.257716,4.06078,0.0,0.0,0.0,0.0901462,0.0,0.0,0.0,0.0,0.0,0.000448365,0.0030657,0.0106091,0.0,0.0,0.0,0.0,0.0,0.0
414532073,0.0,0.0,0.0,-0.0039345,0.0145737,-0.0779419,0.0,0.0,0.0,0.0106252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25781,0.257808,4.0612,0.0,0.0,0.0,0.0901457,0.0,0.0,0.0,0.0,0.0,0.000502449,0.00377447,0.0124967,0.0,0.0,0.0,0.0,0.0,0.0
