timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
541626953,15.1221,15.1707,0.0,0.00165568,0.0,478.699,0.53341,1.06765,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
542122144,14.7138,15.1305,1.2892,0.121813,0.0,478.722,0.520232,1.06969,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
542630146,15.1075,15.076,4.3071,1.68962,0.0,479.06,0.498896,1.07302,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
543126138,14.7283,15.0183,5.0689,3.39397,0.0,479.632,0.474876,1.07679,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
543634946,14.845,15.0011,1.8752,2.8074,0.0,479.981,0.468574,1.07778,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
544130157,14.9617,14.9961,1.8752,2.33551,0.0,480.253,0.467248,1.07799,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
544626188,15.0783,15.02,2.344,2.2076,0.0,480.541,0.478751,1.07618,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
545134156,14.9762,15.0335,1.758,2.14528,0.0,480.838,0.485332,1.07515,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
545630175,15.0054,15.0434,1.9338,2.11285,0.0,481.125,0.4901,1.0744,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
546138146,15.0637,15.0541,2.051,2.10231,0.0,481.42,0.49515,1.07361,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
546634149,15.0346,15.059,2.4612,2.10869,0.0,481.71,0.49747,1.07324,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
547130155,14.9617,15.0695,2.2854,2.0826,0.0,481.994,0.502324,1.07248,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
547638182,14.9325,15.0734,1.9338,2.09899,0.0,482.29,0.504167,1.0722,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
548134161,14.9471,15.0803,1.8166,2.07331,0.0,482.574,0.507338,1.0717,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
548630138,14.9908,15.0819,1.8752,2.09559,0.0,482.866,0.508112,1.07158,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
549138166,15.2096,15.0901,1.9924,2.08728,0.0,483.159,0.511816,1.071,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
549634155,15.0054,15.0918,2.2854,2.07709,0.0,483.444,0.51263,1.07088,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
550142163,15.02,15.0811,2.344,2.21953,0.0,483.77,0.508885,1.07146,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
550638173,15.195,15.081,3.7797,2.55169,0.0,484.138,0.511975,1.07098,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
551146139,14.9762,15.0668,2.8714,2.95489,0.0,484.605,0.512321,1.07093,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
551642159,14.8888,15.0434,4.9224,3.6051,0.0,485.141,0.509321,1.07139,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
552138203,15.0492,15.033,4.1606,3.98025,0.0,485.736,0.5143,1.07062,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
552646171,14.9762,15.021,4.7173,4.06253,0.0,486.316,0.515434,1.07044,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
553142181,14.9908,15.0191,4.102,4.09233,0.0,486.884,0.518805,1.06992,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
553650224,14.9033,15.0132,4.5122,4.12631,0.0,487.47,0.518929,1.0699,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
554146235,14.9617,15.0125,4.2778,4.18291,0.0,488.049,0.520768,1.06961,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
554654199,14.9471,15.0095,4.1899,4.20254,0.0,488.645,0.520825,1.0696,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
555150141,15.02,15.0055,4.5708,4.20443,0.0,489.225,0.51986,1.06975,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
555658159,14.8596,15.0026,4.4829,4.26012,0.0,489.831,0.519104,1.06987,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
556154152,14.9762,15.0055,4.2192,4.26385,0.0,490.42,0.520589,1.06964,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
556650188,14.9325,14.9989,4.5415,4.28655,0.0,491.012,0.517678,1.07009,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
557158161,14.9325,15.0012,4.1606,4.28418,0.0,491.616,0.51881,1.06992,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
557654171,15.1221,15.0096,4.3071,4.28004,0.0,492.206,0.522801,1.0693,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
558150143,14.9033,14.998,6.6218,5.00226,0.0,492.941,0.521145,1.06955,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
558658156,14.8888,14.9749,5.5963,5.383,0.0,493.749,0.517563,1.07011,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
559154157,14.8888,14.9654,5.9186,5.60265,0.0,494.541,0.51803,1.07004,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
559662159,14.9908,14.9454,7.5008,6.38558,0.0,495.494,0.515654,1.07041,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
560158170,14.845,14.9345,6.6218,6.65939,0.0,496.444,0.517555,1.07011,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
560654171,15.1221,14.9304,6.8269,6.7995,0.0,497.392,0.520382,1.06967,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
561162162,14.7575,14.9199,7.8231,7.01786,0.0,498.402,0.519713,1.06978,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
561658142,14.8304,14.887,8.5556,7.93281,0.0,499.606,0.512841,1.07084,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
562154142,14.9471,14.878,8.3212,8.08043,0.0,500.734,0.514257,1.07062,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
562662147,14.8013,14.8652,8.2333,8.18224,0.0,501.9,0.512091,1.07096,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
563158144,14.845,14.8627,7.8817,8.24175,0.0,503.042,0.513372,1.07076,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
563666180,14.7721,14.8603,8.0282,8.27909,0.0,504.214,0.513884,1.07068,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
564174143,14.8158,14.8515,8.1747,8.27247,0.0,505.381,0.510936,1.07114,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
564670183,14.8304,14.8453,8.7607,8.33468,0.0,506.536,0.509023,1.07144,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0
